text,gold_label,predicted_label,explanation,raw_model_output,predicted_label_norm,gold_label_norm
The concept enables a commercially affordable way to manufacture high-quality TCO coated glass for the solar industry .,positive,positive,"The article highlights that the concept offers a commercially affordable method to produce high‑quality TCO‑coated glass, indicating a beneficial development for the solar industry.","{""predicted_label"":""Positive"",""explanation"":""The article highlights that the concept offers a commercially affordable method to produce high‑quality TCO‑coated glass, indicating a beneficial development for the solar industry.""}",positive,positive
`` I 'm not sure what 's happening .,neutral,neutral,"The statement ""I'm not sure what's happening"" expresses uncertainty without a positive or negative tone.","```json
{
  ""predicted_label"": ""Neutral"",
  ""explanation"": ""The statement \""I'm not sure what's happening\"" expresses uncertainty without a positive or negative tone.""
}
```",neutral,neutral
"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",neutral,negative,"The news states that Tikkurila is reported under ""discontinued operations"" in the Q1 2010 financial statement, indicating a loss of business activity and a negative impact on the company.","```json
{
  ""predicted_label"": ""Negative"",
  ""explanation"": ""The news states that Tikkurila is reported under \""discontinued operations\"" in the Q1 2010 financial statement, indicating a loss of business activity and a negative impact on the company.""
}
```",negative,neutral
"Together , Yahoo and Nokia said they will continue to deliver Internet experiences that address the core needs of consumers , developers , operators and advertisers .",neutral,neutral,"The statement simply announces a continuation of service delivery without indicating any improvement, loss, or negative impact; it contains no positive or negative language.","{""predicted_label"":""Neutral"",""explanation"":""The statement simply announces a continuation of service delivery without indicating any improvement, loss, or negative impact; it contains no positive or negative language.""}",neutral,neutral
"Tekla will organize an information meeting for analysts and media at WTC Helsinki Marski meeting room , Aleksanterinkatu 17 , the same day at 12:30 - 1:30 p.m. Light lunch will be served .",neutral,neutral,"The article merely reports a scheduled information meeting and light lunch, containing no positive or negative language or outcomes.","{""predicted_label"":""Neutral"",""explanation"":""The article merely reports a scheduled information meeting and light lunch, containing no positive or negative language or outcomes.""}",neutral,neutral
TietoEnator signed an agreement to acquire Indian research and development ( R&D ) services provider and turnkey software solutions developer Fortuna Technologies Pvt. Ltd. for 21 mln euro ( $ 30.3 mln ) in September 2007 .,neutral,neutral,"The article reports a straightforward acquisition deal—TietoEnator purchasing Fortuna Technologies for 21 million euros ($30.3 million)—without indicating any financial gain, loss, or strategic advantage, thus conveying a neutral stance.","{""predicted_label"":""Neutral"",""explanation"":""The article reports a straightforward acquisition deal—TietoEnator purchasing Fortuna Technologies for 21 million euros ($30.3 million)—without indicating any financial gain, loss, or strategic advantage, thus conveying a neutral stance.""}",neutral,neutral
Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,positive,neutral,"The news reports a 15% increase in the Department Store Division and an 8% increase for Seppala, indicating positive performance, but also a 12% decrease for Hobby Hall, showing a negative outcome. The mix of gains and losses results in an overall neutral sentiment.","{""predicted_label"":""Neutral"",""explanation"":""The news reports a 15% increase in the Department Store Division and an 8% increase for Seppala, indicating positive performance, but also a 12% decrease for Hobby Hall, showing a negative outcome. The mix of gains and losses results in an overall neutral sentiment.""}",neutral,positive
Catalysts segment includes refinery catalysts and polyolefin catalysts product categories .,neutral,neutral,The statement merely lists product categories without indicating any positive or negative outcome.,"{""predicted_label"":""Neutral"",""explanation"":""The statement merely lists product categories without indicating any positive or negative outcome.""}",neutral,neutral
Around 250 of these reductions will be implemented through pension arrangements .,neutral,negative,"The statement highlights that ""around 250 of these reductions will be implemented through pension arrangements,"" indicating a cut or decrease in benefits or costs, which is generally viewed negatively.","{""predicted_label"":""Negative"",""explanation"":""The statement highlights that \""around 250 of these reductions will be implemented through pension arrangements,\"" indicating a cut or decrease in benefits or costs, which is generally viewed negatively.""}",negative,neutral
"The CL51 is designed to measure cloud base height and vertical visibility in all weather conditions , which makes it an ideal instrument for meteorological applications that rely on reliable cloud height detection .",positive,positive,"The article praises the CL51 as an ""ideal instrument"" for meteorological applications and highlights its ability to reliably detect cloud height, indicating a positive sentiment.","```json
{
  ""predicted_label"": ""Positive"",
  ""explanation"": ""The article praises the CL51 as an \""ideal instrument\"" for meteorological applications and highlights its ability to reliably detect cloud height, indicating a positive sentiment.""
}
```",positive,positive
The company expects its net sales in the first half of 2008 to reach the previous year 's level .,positive,neutral,"The statement merely forecasts that net sales will ""reach the previous year’s level,"" indicating no improvement or decline, which is neutral in sentiment.","{""predicted_label"":""Neutral"",""explanation"":""The statement merely forecasts that net sales will \""reach the previous year’s level,\"" indicating no improvement or decline, which is neutral in sentiment.""}",neutral,positive
Self-service and automation are in a bigger role now and Fujitsu 's global resources will be exploited effectively .,positive,positive,"The statement highlights that self‑service and automation are taking on a larger role and that Fujitsu’s global resources will be exploited effectively, indicating a favorable outlook.","```json
{
  ""predicted_label"": ""Positive"",
  ""explanation"": ""The statement highlights that self‑service and automation are taking on a larger role and that Fujitsu’s global resources will be exploited effectively, indicating a favorable outlook.""
}
```",positive,positive
"Janis Arbidans , CEO of YIT Celtnieciba , said the company was focusing on housing and real estate development market .",neutral,neutral,"The article merely reports that the CEO announced a focus on housing and real estate development, with no indication of positive or negative outcomes.","```json
{
  ""predicted_label"": ""Neutral"",
  ""explanation"": ""The article merely reports that the CEO announced a focus on housing and real estate development, with no indication of positive or negative outcomes.""
}
```",neutral,neutral
"The final price will be specified by 14 May 2010 , the acquiring company said .",neutral,neutral,"The sentence merely states a future date for final price determination, with no positive or negative language or outcome implied.","```json
{
  ""predicted_label"": ""Neutral"",
  ""explanation"": ""The sentence merely states a future date for final price determination, with no positive or negative language or outcome implied.""
}
```",neutral,neutral
Loss after taxes amounted to EUR 1.2 mn compared to a loss of 2.6 mn .,positive,positive,"The loss after taxes dropped from EUR 2.6 million to EUR 1.2 million, indicating an improvement in financial performance.","{""predicted_label"":""Positive"",""explanation"":""The loss after taxes dropped from EUR 2.6 million to EUR 1.2 million, indicating an improvement in financial performance.""}",positive,positive
"The metal has gained 41 percent this year as demand from China , the world 's largest user , increased .",positive,positive,"The metal’s price has risen 41% this year, driven by increased demand from China.","```json
{
  ""predicted_label"": ""Positive"",
  ""explanation"": ""The metal’s price has risen 41% this year, driven by increased demand from China.""
}
```",positive,positive
"Incap Contract Manufacturing will carry out the manufacturing for these agreements at its factory in Tumkur , near Bangalore .",neutral,neutral,"The statement merely reports that Incap Contract Manufacturing will produce goods at its Tumkur factory, with no positive or negative implications.","{""predicted_label"":""Neutral"",""explanation"":""The statement merely reports that Incap Contract Manufacturing will produce goods at its Tumkur factory, with no positive or negative implications.""}",neutral,neutral
"ISMS does not disclose its financial results , the daily said .",neutral,negative,"The article states that ISMS ""does not disclose its financial results,"" implying a lack of transparency that is generally viewed negatively by investors.","```json
{
  ""predicted_label"": ""Negative"",
  ""explanation"": ""The article states that ISMS \""does not disclose its financial results,\"" implying a lack of transparency that is generally viewed negatively by investors.""
}
```",negative,neutral
"BasWare Invoice Processing , BasWare Contract Matching , BasWare Order Matching and BasWare KPI Reporting Tool are part of the BasWare 's Enterprise Purchase to Pay product suite .",neutral,neutral,"The news merely lists BasWare products as part of its suite, with no positive or negative language or outcomes mentioned.","```json
{
  ""predicted_label"": ""Neutral"",
  ""explanation"": ""The news merely lists BasWare products as part of its suite, with no positive or negative language or outcomes mentioned.""
}
```",neutral,neutral
"Anttila 's online department store - NetAnttila - has an established position as the best-known , most visited and most shopped online store in Finland  .",neutral,positive,"The article highlights NetAnttila as the ""best-known, most visited and most shopped online store in Finland,"" which are positive descriptors indicating a favorable position.","{""predicted_label"":""Positive"",""explanation"":""The article highlights NetAnttila as the \""best-known, most visited and most shopped online store in Finland,\"" which are positive descriptors indicating a favorable position.""}",positive,neutral
"Due to rapid expansion , the market share of Tallink in terms of passenger carriage through Tallinna Sadam Port of Tallinn totaled 55 percent in November against 45.7 percent in November 2005 .",positive,positive,"The article reports Tallink’s market share rose from 45.7% in November 2005 to 55% in November, indicating a clear positive growth outcome.","{""predicted_label"":""Positive"",""explanation"":""The article reports Tallink’s market share rose from 45.7% in November 2005 to 55% in November, indicating a clear positive growth outcome.""}",positive,positive
The company feels these leases are prime locations due to several producing formations in the immediate area .,positive,positive,"The statement highlights that the company views the leases as ""prime locations"" and cites ""several producing formations"" nearby, indicating a favorable outlook.","{""predicted_label"":""Positive"",""explanation"":""The statement highlights that the company views the leases as \""prime locations\"" and cites \""several producing formations\"" nearby, indicating a favorable outlook.""}",positive,positive
"The personnel reduction will be carried out in Anjalankoski , Hollola , Jyvaskyla , Jarvenpaa , Karhula , Turku and Valkeakoski units .",negative,negative,"The announcement of a personnel reduction across multiple units indicates layoffs, which is a negative development for employees and the organization.","{""predicted_label"":""Negative"",""explanation"":""The announcement of a personnel reduction across multiple units indicates layoffs, which is a negative development for employees and the organization.""}",negative,negative
"Subscribers of China Unicom , the nation 's second largest mobile phone operator after China Mobile , are expected to release pictures , videos and blog on the Internet via mobile phones as of March 2008 .",neutral,neutral,"The article simply reports a factual expectation that China Unicom subscribers will upload pictures, videos, and blogs via mobile phones in March 2008, with no positive or negative tone.","{""predicted_label"":""Neutral"",""explanation"":""The article simply reports a factual expectation that China Unicom subscribers will upload pictures, videos, and blogs via mobile phones in March 2008, with no positive or negative tone.""}",neutral,neutral
"Strongest growth was seen in the new markets in Russia , the Czech Republic , and Slovakia .",positive,positive,"The statement highlights ""Strongest growth"" in new markets, indicating a positive performance outcome.","{""predicted_label"":""Positive"",""explanation"":""The statement highlights \""Strongest growth\"" in new markets, indicating a positive performance outcome.""}",positive,positive
The sale price was not disclosed .,neutral,neutral,"The article merely states that the sale price was not disclosed, providing no positive or negative information about the transaction.","{""predicted_label"":""Neutral"",""explanation"":""The article merely states that the sale price was not disclosed, providing no positive or negative information about the transaction.""}",neutral,neutral
You will hear the latest insights and updates on Citycon 's strategy as well as the latest news from all the business units .,neutral,neutral,The article merely announces that updates and insights will be shared; it contains no positive or negative language or outcomes.,"{""predicted_label"":""Neutral"",""explanation"":""The article merely announces that updates and insights will be shared; it contains no positive or negative language or outcomes.""}",neutral,neutral
"HKScan is one of the leading food companies in northern Europe with homemarkets in Finland , Sweden , the Baltic countries and Poland .",neutral,neutral,"The article merely states HKScan’s market presence in several countries, providing factual information without any positive or negative evaluation.","{""predicted_label"":""Neutral"",""explanation"":""The article merely states HKScan’s market presence in several countries, providing factual information without any positive or negative evaluation.""}",neutral,neutral
We have made long-term investments in developing the system 's implementation model .,neutral,positive,"The statement highlights ""long‑term investments"" and the active development of the system’s implementation model, indicating a positive outlook.","```json
{
  ""predicted_label"": ""Positive"",
  ""explanation"": ""The statement highlights \""long‑term investments\"" and the active development of the system’s implementation model, indicating a positive outlook.""
}
```",positive,neutral
"Marubeni has participated in GHG - Green House Gas - emission reduction projects overseas , obtained emissions credit from its projects and has provided these to Japanese clients .",neutral,positive,"Marubeni’s involvement in overseas GHG‑reduction projects and the successful acquisition of emissions credits, which it then supplies to Japanese clients, indicates proactive environmental action and a beneficial outcome.","```json
{
  ""predicted_label"": ""Positive"",
  ""explanation"": ""Marubeni’s involvement in overseas GHG‑reduction projects and the successful acquisition of emissions credits, which it then supplies to Japanese clients, indicates proactive environmental action and a beneficial outcome.""
}
```",positive,neutral
The newly created position has been established to strengthen Amer Sports ' management in strategic planning and execution .,positive,neutral,"The article merely reports the creation of a new position aimed at strengthening management, with no indication of positive or negative outcomes.","```json
{
  ""predicted_label"": ""Neutral"",
  ""explanation"": ""The article merely reports the creation of a new position aimed at strengthening management, with no indication of positive or negative outcomes.""
}
```",neutral,positive
The agreement with JM is one in a series of contracts that TeliaSonera has signed in recent months with residential construction and real estate management companies in Sweden .,neutral,neutral,"The article merely reports that TeliaSonera has signed a series of contracts with residential construction and real estate management companies, presenting a factual statement without any positive or negative connotation.","{""predicted_label"":""Neutral"",""explanation"":""The article merely reports that TeliaSonera has signed a series of contracts with residential construction and real estate management companies, presenting a factual statement without any positive or negative connotation.""}",neutral,neutral
"Net profit in the three months through March 31 fell to (  x20ac ) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier , the Finnish company said .",negative,negative,"The net profit dropped from 131 million to 103 million, indicating a decline.","```json
{
  ""predicted_label"": ""Negative"",
  ""explanation"": ""The net profit dropped from 131 million to 103 million, indicating a decline.""
}
```",negative,negative
16 February 2011 - Finnish industrial machinery company Metso Oyj ( HEL : MEO1V ) said today it will deliver minerals processing equipment and basic engineering to Canadian miner Northland Resources ( OSL : NAUR ) ( TSE : NAU ) .,positive,neutral,"The article merely reports a factual business transaction—Metso will deliver equipment and engineering services to Northland Resources—without indicating any financial gain, loss, or market impact.","```json
{
  ""predicted_label"": ""Neutral"",
  ""explanation"": ""The article merely reports a factual business transaction—Metso will deliver equipment and engineering services to Northland Resources—without indicating any financial gain, loss, or market impact.""
}
```",neutral,positive
"When dialing in , the participants should quote 877417 as conference ID .",neutral,neutral,The text merely provides a factual instruction (quote 877417 as conference ID) without expressing any positive or negative sentiment.,"{""predicted_label"":""Neutral"",""explanation"":""The text merely provides a factual instruction (quote 877417 as conference ID) without expressing any positive or negative sentiment.""}",neutral,neutral
"To prove the efficiency of the China Mobile system , Rod Baber , an English climber , climbed to the Mount Everest summit and successfully made calls .",positive,positive,"The article highlights a successful achievement—Rod Baber reached the summit of Mount Everest and was able to make calls, demonstrating the efficiency of the China Mobile system.","{""predicted_label"":""Positive"",""explanation"":""The article highlights a successful achievement—Rod Baber reached the summit of Mount Everest and was able to make calls, demonstrating the efficiency of the China Mobile system.""}",positive,positive
"Operating profit surged to EUR21m from EUR106 ,000 .",positive,positive,"Operating profit jumped from EUR106,000 to EUR21 million, indicating a substantial increase and a positive financial outcome.","{""predicted_label"":""Positive"",""explanation"":""Operating profit jumped from EUR106,000 to EUR21 million, indicating a substantial increase and a positive financial outcome.""}",positive,positive
This assignment strengthens Poyry 's position as an international provider of engineering and project services to the chemical process industry .,positive,positive,"The statement explicitly says the assignment ""strengthens Poyry's position as an international provider,"" indicating a positive outcome for the company.","{""predicted_label"":""Positive"",""explanation"":""The statement explicitly says the assignment \""strengthens Poyry's position as an international provider,\"" indicating a positive outcome for the company.""}",positive,positive
"The company also appointed Leif Rosen head of the Special Plate unit which includes the quarto plate units in Degerfors , Sweden , and New Castle , USA , the unit in Willich , Germany , as well as Pressplate and Prefab in Avesta and Plate Service Centre Nordic in Degerfors .",neutral,neutral,"The article merely reports an appointment of Leif Rosen as head of the Special Plate unit, with no indication of positive or negative outcomes.","{""predicted_label"":""Neutral"",""explanation"":""The article merely reports an appointment of Leif Rosen as head of the Special Plate unit, with no indication of positive or negative outcomes.""}",neutral,neutral
Mobile communication and wireless broadband provider Nokia Inc NYSE : NOK today set new financial targets and forecasts for Nokia and the mobile device industry and also for Nokia Siemens Networks and the mobile and fixed infrastructure and related services market .,neutral,neutral,"The article merely reports that Nokia set new financial targets and forecasts, without indicating any positive or negative outcomes.","```json
{
  ""predicted_label"": ""Neutral"",
  ""explanation"": ""The article merely reports that Nokia set new financial targets and forecasts, without indicating any positive or negative outcomes.""
}
```",neutral,neutral
First quarter underlying operating profit rose to 41 mln eur from 33 mln a year earlier .,positive,positive,"The operating profit increased from 33 million euros to 41 million euros, indicating a positive financial performance.","{""predicted_label"":""Positive"",""explanation"":""The operating profit increased from 33 million euros to 41 million euros, indicating a positive financial performance.""}",positive,positive
A few employees would remain at the Oulu plant in support functions for other group units .,neutral,neutral,"The statement simply reports that a few employees will stay at the Oulu plant for support functions, with no indication of positive or negative impact.","{""predicted_label"":""Neutral"",""explanation"":""The statement simply reports that a few employees will stay at the Oulu plant for support functions, with no indication of positive or negative impact.""}",neutral,neutral
"Swiss bank Credit Suisse International will act as an investor in the locomotive manufacturing plant , the Astana administration said .",neutral,neutral,"The article simply reports that Credit Suisse International will invest in a locomotive plant, with no positive or negative tone or outcome implied.","{""predicted_label"":""Neutral"",""explanation"":""The article simply reports that Credit Suisse International will invest in a locomotive plant, with no positive or negative tone or outcome implied.""}",neutral,neutral
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,positive,"The board proposes a dividend of EUR0.12 per share for 2010, which is higher than the EUR0.08 per share paid in 2009, indicating an improvement in shareholder returns.","{""predicted_label"":""Positive"",""explanation"":""The board proposes a dividend of EUR0.12 per share for 2010, which is higher than the EUR0.08 per share paid in 2009, indicating an improvement in shareholder returns.""}",positive,positive
Atria said its offer would give the Swedish company continued ownership and control of its slaughtering and cutting operations .,neutral,neutral,"The statement simply reports that Atria’s offer will allow the Swedish company to retain ownership and control of its slaughtering and cutting operations, with no indication of a positive or negative outcome.","{""predicted_label"":""Neutral"",""explanation"":""The statement simply reports that Atria’s offer will allow the Swedish company to retain ownership and control of its slaughtering and cutting operations, with no indication of a positive or negative outcome.""}",neutral,neutral
Operating profit excluding restructuring costs grew to EUR 44.5 million from EUR 31.7 million while operating profit including restructuring costs showed even larger growth to EUR 38.5 million from EUR 7.4 million .,positive,positive,"The operating profit increased from EUR 31.7 million to EUR 44.5 million (excluding restructuring costs) and from EUR 7.4 million to EUR 38.5 million (including restructuring costs), indicating clear financial improvement.","{""predicted_label"":""Positive"",""explanation"":""The operating profit increased from EUR 31.7 million to EUR 44.5 million (excluding restructuring costs) and from EUR 7.4 million to EUR 38.5 million (including restructuring costs), indicating clear financial improvement.""}",positive,positive
These share transactions are part of the company 's strategy of relinquishing assets that are not part of its core business .,neutral,neutral,"The article merely states that the share transactions are part of a strategy to relinquish non‑core assets, with no positive or negative language about the outcome.","```json
{
  ""predicted_label"": ""Neutral"",
  ""explanation"": ""The article merely states that the share transactions are part of a strategy to relinquish non‑core assets, with no positive or negative language about the outcome.""
}
```",neutral,neutral
"As reported June 26 , `` both circuits continued to alternately report the track as vacant and then occupied almost constantly from June 17 , when part of the track signaling device was replaced , to the time of the crash , according to the Metro source . ''",neutral,negative,"The report describes a crash and ongoing signaling problems, with circuits alternately reporting the track as vacant or occupied, indicating a dangerous situation.","```json
{
  ""predicted_label"": ""Negative"",
  ""explanation"": ""The report describes a crash and ongoing signaling problems, with circuits alternately reporting the track as vacant or occupied, indicating a dangerous situation.""
}
```",negative,neutral
"Founded in 1649 , Fiskars has over 360 years of product quality excellence and is Finland 's oldest company .",neutral,positive,"The article highlights Fiskars’ 360‑year history of product quality excellence and its status as Finland’s oldest company, which conveys a positive view.","{""predicted_label"":""Positive"",""explanation"":""The article highlights Fiskars’ 360‑year history of product quality excellence and its status as Finland’s oldest company, which conveys a positive view.""}",positive,neutral
"SDM offers general rental equipment , aluminium scaffolding , power generator and hoists to customers in the construction sector .",neutral,neutral,"The article merely reports that SDM provides rental equipment to construction customers, with no positive or negative language or outcomes indicated.","{""predicted_label"":""Neutral"",""explanation"":""The article merely reports that SDM provides rental equipment to construction customers, with no positive or negative language or outcomes indicated.""}",neutral,neutral
"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres .",positive,positive,"The article reports a 4.7‑percent increase in beer sales, rising to 46.22 million litres, indicating a positive sales performance.","{""predicted_label"":""Positive"",""explanation"":""The article reports a 4.7‑percent increase in beer sales, rising to 46.22 million litres, indicating a positive sales performance.""}",positive,positive
The chain is to unite 45-50 centres by the end of 2008 .,neutral,neutral,"The article merely reports a planned expansion of 45‑50 centres by the end of 2008, with no evaluative language indicating positive or negative sentiment.","```json
{
  ""predicted_label"": ""Neutral"",
  ""explanation"": ""The article merely reports a planned expansion of 45‑50 centres by the end of 2008, with no evaluative language indicating positive or negative sentiment.""
}
```",neutral,neutral
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",positive,positive,"The company’s net profit jumped from EUR416,000 to EUR4.8 million, and it raised its dividend proposal, indicating strong financial performance.","```json
{
  ""predicted_label"": ""Positive"",
  ""explanation"": ""The company’s net profit jumped from EUR416,000 to EUR4.8 million, and it raised its dividend proposal, indicating strong financial performance.""
}
```",positive,positive
It also turned to earnings per share ( EPS ) of EUR 0.08 versus loss per share of EUR 0.04 .,positive,positive,"The company’s earnings per share improved from a loss of EUR 0.04 to a profit of EUR 0.08, indicating a positive financial outcome.","{""predicted_label"":""Positive"",""explanation"":""The company’s earnings per share improved from a loss of EUR 0.04 to a profit of EUR 0.08, indicating a positive financial outcome.""}",positive,positive
Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .,negative,negative,"The company reported a pretax loss of EUR 162.3 million, contrasting with a profit of EUR 253.5 million in 2007, indicating a decline in financial performance.","```json
{
  ""predicted_label"": ""Negative"",
  ""explanation"": ""The company reported a pretax loss of EUR 162.3 million, contrasting with a profit of EUR 253.5 million in 2007, indicating a decline in financial performance.""
}
```",negative,negative
"Of course , you 'll have direct access to Nokia 's Ovi store , so you 'll have lots of fun downloading your favorite media .",neutral,positive,"The statement highlights direct access to Nokia's Ovi store and promises ""lots of fun"" downloading media, indicating a favorable view.","```json
{
  ""predicted_label"": ""Positive"",
  ""explanation"": ""The statement highlights direct access to Nokia's Ovi store and promises \""lots of fun\"" downloading media, indicating a favorable view.""
}
```",positive,neutral
"The contracts between Raute Corporation and Muling Kemian Wood Products Co. , Ltd. , which were announced on 3 November 2010 , have taken effect .",neutral,neutral,"The article merely reports that the contracts announced on 3 November 2010 have taken effect, with no positive or negative language or outcomes indicated.","{""predicted_label"":""Neutral"",""explanation"":""The article merely reports that the contracts announced on 3 November 2010 have taken effect, with no positive or negative language or outcomes indicated.""}",neutral,neutral
"In Q1 of 2010 , Bank of +_land 's net interest income increased from EUR 9.1 mn to EUR 9.7 mn .",positive,positive,"The news reports that the bank’s net interest income rose from EUR 9.1 million to EUR 9.7 million, indicating an improvement in earnings.","{""predicted_label"":""Positive"",""explanation"":""The news reports that the bank’s net interest income rose from EUR 9.1 million to EUR 9.7 million, indicating an improvement in earnings.""}",positive,positive
