text,true_label,P1_Lecturer_Fixed_pred,P1_Lecturer_Fixed_exp,P2_Constrained_pred,P2_Constrained_exp,gpt_oss_pred,P3_Hybrid_Master_exp,P4_Baseline_ZeroShot_pred,P4_Baseline_ZeroShot_exp,bert_pred,finbert_pred
The net sales of the Power Plants business were EUR 710.3 million in 2005 .,neutral,neutral,"The statement simply reports a sales figure without any evaluative or emotive language, indicating a neutral report.",neutral,Strict classification applied,neutral,"The statement reports the net sales figure for the Power Plants business, lacking any explicit indication of growth, decline, or financial gain/loss.",neutral,"The headline presents a straightforward financial fact without any emotional language or evaluative tone, making it neutral in sentiment.",neutral,neutral
"He joins Technopolis from KONE where he has held various positions within the Group , most recently as Director of Service Business and Business Development for KONE s Middle Eastern operations .",neutral,neutral,"The article merely reports a career move—""He joins Technopolis from KONE""—and lists his previous positions without any positive or negative descriptors.",neutral,Strict classification applied,neutral,"The announcement only reports a personnel transfer, with no explicit mention of financial gains, losses, or operational impact.",neutral,"The headline merely reports a corporate appointment without any evaluative language or emotive content, so it conveys an objective, neutral tone.",neutral,neutral
"Steek , which was set up in 2002 , is based in Bordeaux , southwestern France .",neutral,neutral,The article gives only factual details—Steek was established in 2002 and is located in Bordeaux—without expressing positive or negative sentiment.,neutral,Strict classification applied,neutral,"The article only states the founding date and location of Steek; it contains no reference to financial gain, loss, or corporate operations.",neutral,"The headline provides a factual statement about the founding year and location of Steek, containing no positive or negative language or evaluative tone.",neutral,neutral
Vacon 's cash flow from operations grew to EUR 37.1 mn from EUR 21.9 mn a year ago .,positive,positive,"The article reports that Vacon’s cash flow from operations increased from EUR 21.9 million to EUR 37.1 million, indicating stronger financial performance.",positive,Strict classification applied,positive,Cash flow from operations increased from EUR 21.9 mn to EUR 37.1 mn.,positive,"The headline reports a substantial increase in cash flow from operations, indicating improved financial performance. This is generally viewed as positive news for the company.",positive,positive
"According to the original merger plan , Scanfil would get a 79 % stake in the combined business .",neutral,neutral,The statement simply reports a fact about the merger – Scanfil would receive a 79 % stake – without expressing any positive or negative opinion.,neutral,Strict classification applied,neutral,"The information describes a stake distribution (% ownership) in the combined entity, which is a standard corporate operation without any explicit financial gain or loss.",neutral,"The headline simply reports a factual detail about a merger plan without any evaluative or emotionally charged language, making it neutral in tone.",neutral,neutral
Raute is listed on the Nordic exchange in Helsinki .,neutral,neutral,"The statement simply reports that Raute has been listed on a stock exchange, providing no positive or negative context; it is a neutral factual update.",positive,Strict classification applied,neutral,Listing on the Nordic exchange in Helsinki is a standard corporate operation without explicit financial gain or loss mentioned.,neutral,The headline merely reports a factual event (Raute being listed on an exchange) without any positive or negative connotation.,neutral,neutral
The concept enables a commercially affordable way to manufacture high-quality TCO coated glass for the solar industry .,positive,positive,"The statement highlights that the concept provides a commercially affordable method for producing high‑quality TCO coated glass, indicating a beneficial development for the solar industry.",positive,Strict classification applied,positive,"Introducing a cheaper manufacturing method for high‑quality glass reduces production costs, which directly improves profitability for players in the solar industry.",positive,"The headline describes a concept that offers commercial affordability and high-quality production of TCO coated glass for the solar industry, highlighting beneficial and innovative aspects.",positive,positive
`` I 'm not sure what 's happening .,neutral,negative,"The phrase ""I'm not sure what's happening"" conveys uncertainty and doubt, which are typical indicators of a negative sentiment.",neutral,Strict classification applied,neutral,"The statement does not reference any financial gain, loss, or operational change, so there is no concrete financial evidence to classify as positive or negative.",neutral,"The headline states uncertainty ('I'm not sure what's happening') without any explicit positive or negative connotation, indicating a neutral sentiment.",neutral,neutral
"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",neutral,negative,"The statement that Tikkurila is reported under ""discontinued operations"" signals a negative development, indicating that its business unit is being shut down or sold.",neutral,Strict classification applied,negative,"The company reports Tikkurila under discontinued operations, indicating that this segment is being removed and will negatively impact financial performance.",neutral,"The headline presents a factual report from a financial statement without any evaluative language or emotional tone. It simply states that Tikkurila is listed under discontinued operations, which is neutral information.",neutral,neutral
"Together , Yahoo and Nokia said they will continue to deliver Internet experiences that address the core needs of consumers , developers , operators and advertisers .",neutral,neutral,"The article simply announces a cooperation between Yahoo and Nokia to deliver internet experiences that 'address the core needs of consumers, developers, operators and advertisers,' which is a factual statement without positive or negative implications.",positive,Strict classification applied,neutral,"No financial gain, loss or metrics are mentioned in the announcement.",positive,"The headline conveys a positive outlook by announcing a continued partnership between Yahoo and Nokia to deliver Internet experiences that address the core needs of consumers, developers, operators, and advertisers.",neutral,neutral
"Tekla will organize an information meeting for analysts and media at WTC Helsinki Marski meeting room , Aleksanterinkatu 17 , the same day at 12:30 - 1:30 p.m. Light lunch will be served .",neutral,neutral,"The article merely reports an upcoming informational meeting and a light lunch, with no evaluative language indicating positivity or negativity.",neutral,Strict classification applied,neutral,"No mention of financial gain, growth, loss, or decline; only a routine corporate event.",neutral,The headline merely reports an upcoming informational event with logistical details and a light lunch. It contains no evaluative or emotional language that would indicate a positive or negative sentiment.,neutral,neutral
TietoEnator signed an agreement to acquire Indian research and development ( R&D ) services provider and turnkey software solutions developer Fortuna Technologies Pvt. Ltd. for 21 mln euro ( $ 30.3 mln ) in September 2007 .,neutral,neutral,The article reports a factual business transaction – TietoEnator signed an agreement to acquire Fortuna Technologies for 21 million euros – without indicating any positive or negative impact.,neutral,Strict classification applied,neutral,TietoEnator signed an agreement to acquire Fortuna Technologies Pvt. Ltd. for 21 million euros.,positive,"The headline reports that TietoEnator has signed an agreement to acquire a research and development services provider, which generally indicates a strategic expansion and positive growth for the company.",positive,positive
Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,positive,neutral,"The report highlights sales increases of 15 % for the Department Store Division and 8 % for the clothing store subsidiary Seppala, while also noting a 12 % decline for Hobby Hall, indicating mixed outcomes.",neutral,Strict classification applied,neutral,"The article reports factual sales figures: two divisions experienced increases while Hobby Hall saw a decline, providing standard financial performance data without an overall positive or negative emphasis.",neutral,"The headline simply reports sales changes—some increases and one decrease—without any emotive language or explicitly positive/negative framing. It presents factual information, so the overall sentiment is neutral.",positive,positive
Catalysts segment includes refinery catalysts and polyolefin catalysts product categories .,neutral,neutral,The statement merely lists product categories (“refinery catalysts and polyolefin catalysts”) without any sentiment‑bearing language or evaluative content.,neutral,Strict classification applied,neutral,"The statement merely describes product categories, lacking any indication of financial gain or loss.",neutral,The headline is simply stating the product categories for the catalysts segment and does not contain any positive or negative language.,neutral,neutral
Around 250 of these reductions will be implemented through pension arrangements .,neutral,negative,"The article mentions ""reductions will be implemented"" implying a cutback or decline, which conveys a negative outlook.",neutral,Strict classification applied,positive,"The statement indicates a planned cost reduction, directly decreasing expenses and improving the company's financial position.",negative,"The headline mentions ""reductions,"" which typically imply cutbacks or decreases that are perceived negatively, leading to a negative sentiment classification.",neutral,neutral
"The CL51 is designed to measure cloud base height and vertical visibility in all weather conditions , which makes it an ideal instrument for meteorological applications that rely on reliable cloud height detection .",positive,positive,"The claim that the CL51 is an ""ideal instrument"" for meteorological applications signals a favorable, positive stance.",neutral,Strict classification applied,neutral,"The passage describes a product's technical capabilities without indicating any financial gains, losses, or impacts on business operations.",positive,"The headline praises the CL51, describing it as an ""ideal instrument"" for meteorological applications, which conveys a positive sentiment.",positive,positive
The company expects its net sales in the first half of 2008 to reach the previous year 's level .,positive,neutral,"The statement indicates that the company expects sales to remain at the previous year's level, implying no growth or decline, which reflects a neutral outlook.",neutral,Strict classification applied,neutral,"The forecast states net sales will match the prior year’s level, indicating no expected growth or decline, so it is a standard corporate operations statement.",neutral,The headline simply reports the company's expectation that net sales will reach the previous year's level. It contains no emotionally charged words or evaluative language that would indicate a positive or negative sentiment; it presents a factual forecast.,positive,positive
Self-service and automation are in a bigger role now and Fujitsu 's global resources will be exploited effectively .,positive,positive,"The headline highlights increased importance of self‑service and automation and promises effective exploitation of Fujitsu’s global resources, indicating a favorable outlook.",positive,Strict classification applied,neutral,"No explicit financial gain, loss, or penalty is mentioned; the statement describes operational changes typical of PR.",positive,"The headline highlights increased use of self‑service and automation, and suggests that Fujitsu's global resources will be effectively leveraged, which conveys a favorable outlook rather than any negative sentiment.",positive,positive
"Janis Arbidans , CEO of YIT Celtnieciba , said the company was focusing on housing and real estate development market .",neutral,neutral,The statement merely reports the company's focus on housing and real estate development without expressing any positive or negative judgment.,neutral,Strict classification applied,neutral,"The statement merely indicates a strategic focus on housing and real estate development, with no mention of financial gains, losses, or other economic outcomes.",neutral,The headline simply reports a CEO’s statement about the company’s focus on the housing and real estate development market. It contains no positive or negative language or evaluative content that would indicate a positive or negative sentiment.,neutral,neutral
"The final price will be specified by 14 May 2010 , the acquiring company said .",neutral,neutral,"The article merely reports a forthcoming date for final price disclosure, with no positive or negative language or implications.",neutral,Strict classification applied,neutral,"The statement only announces the date on which the final price will be specified, with no indication of a gain or loss.",neutral,"The headline simply reports a factual update about the timing of a price specification. It contains no positive or negative connotations, making its sentiment neutral.",neutral,neutral
Loss after taxes amounted to EUR 1.2 mn compared to a loss of 2.6 mn .,positive,positive,"The article notes the loss after taxes decreased from EUR 2.6 mn to EUR 1.2 mn, indicating an improvement in the financial result.",positive,Strict classification applied,negative,"The company reported a loss after taxes of EUR 1.2 million, which, although smaller than the prior loss of EUR 2.6 million, remains a financial loss.",positive,"The headline reports that the loss after taxes has decreased from 2.6 million euros to 1.2 million euros. A reduction in losses indicates an improvement in the company’s financial standing, which is generally viewed positively. Thus, the sentiment is classified as Positive.",positive,positive
"The metal has gained 41 percent this year as demand from China , the world 's largest user , increased .",positive,positive,"The article highlights a 41% gain in the metal’s price this year, attributing it to increased demand from China, which signals strong market conditions.",positive,Strict classification applied,positive,"The metal’s price has risen by 41% this year, driven by higher demand from China, indicating a financial gain.",positive,"The headline states that the metal has gained 41% this year and that demand from China has increased, indicating a favorable market outcome.",positive,positive
"Incap Contract Manufacturing will carry out the manufacturing for these agreements at its factory in Tumkur , near Bangalore .",neutral,neutral,The news is a factual statement about Incap Contract Manufacturing’s location and role; it contains no evaluative or emotionally charged language that would suggest a positive or negative sentiment.,neutral,Strict classification applied,neutral,"The statement describes a standard operational arrangement without any explicit financial gain, loss, or negative impact.",neutral,The headline reports a factual statement about Incap Contract Manufacturing carrying out manufacturing at its Tumkur factory and does not convey any positive or negative emotion.,neutral,neutral
"ISMS does not disclose its financial results , the daily said .",neutral,neutral,"The article states that ISMS ""does not disclose its financial results,"" which is a neutral factual claim without positive or negative evaluation.",negative,Strict classification applied,neutral,"The report only states that ISMS does not disclose its financial results; no mention of gains, losses, or penalties is made.",negative,"The headline reports that ISMS did not disclose its financial results, indicating a lack of transparency and possibly poor financial performance, which generally conveys a negative sentiment.",neutral,neutral
"BasWare Invoice Processing , BasWare Contract Matching , BasWare Order Matching and BasWare KPI Reporting Tool are part of the BasWare 's Enterprise Purchase to Pay product suite .",neutral,neutral,"The news merely lists product features as part of BasWare’s suite, with no positive or negative qualifiers.",neutral,Strict classification applied,neutral,"The statement only describes product components without any reference to financial gain, loss, or decline.",neutral,"The headline simply lists features of a BasWare product suite without expressing any positive or negative sentiment. It presents factual information, so its sentiment is best classified as Neutral.",neutral,neutral
"Anttila 's online department store - NetAnttila - has an established position as the best-known , most visited and most shopped online store in Finland  .",neutral,positive,"The statement highlights NetAnttila as ""the best‑known, most visited and most shopped"" online store in Finland, which are positive descriptors indicating acclaim and high standing.",positive,Strict classification applied,neutral,The statement highlights brand popularity but does not provide concrete financial metrics or evidence of growth or loss.,positive,"The headline highlights the store's leading status, describing it as the best-known, most visited, and most shopped online store in Finland, which conveys a positive portrayal.",neutral,neutral
"Due to rapid expansion , the market share of Tallink in terms of passenger carriage through Tallinna Sadam Port of Tallinn totaled 55 percent in November against 45.7 percent in November 2005 .",positive,positive,"The article highlights Tallink’s rapid expansion and a rise in market share from 45.7% to 55%, indicating growth and positive performance.",positive,Strict classification applied,positive,"Tallink’s passenger‑carriage market share grew from 45.7% to 55%, indicating a positive performance gain.",positive,"The headline reports an increase in market share due to rapid expansion, indicating a growth achievement for Tallink. This factual announcement conveys a positive outcome for the company, thus classifying the sentiment as Positive.",positive,positive
The company feels these leases are prime locations due to several producing formations in the immediate area .,positive,positive,"The statement highlights that the company views the leases as ""prime locations"" and attributes this to ""several producing formations in the immediate area,"" indicating a favorable outlook.",positive,Strict classification applied,neutral,"The statement only describes lease locations and nearby production, with no explicit mention of financial gains, losses, or penalties.",positive,"The headline expresses optimism about the leases, describing them as ""prime locations"" because of nearby producing formations. This positive language indicates a favorable view.",neutral,positive
"The personnel reduction will be carried out in Anjalankoski , Hollola , Jyvaskyla , Jarvenpaa , Karhula , Turku and Valkeakoski units .",negative,negative,"The news explicitly states a ""personnel reduction"" in multiple units, implying job cuts and a negative impact on employees.",negative,Strict classification applied,negative,"The announcement details a reduction in personnel across multiple units, indicating a workforce cut that typically corresponds to a decline or adverse financial impact.",negative,"The headline announces personnel reductions (layoffs) across multiple units, which indicates an adverse outcome for employees and can be seen as a negative event.",negative,negative
"Subscribers of China Unicom , the nation 's second largest mobile phone operator after China Mobile , are expected to release pictures , videos and blog on the Internet via mobile phones as of March 2008 .",neutral,neutral,The statement simply forecasts that users will be uploading content; it contains no evaluative or emotive language indicating positive or negative sentiment.,neutral,Strict classification applied,neutral,"The article reports a change in subscriber activity (uploading media), with no explicit mention of financial gain, loss, or penalty.",neutral,"The headline simply reports a factual change in subscriber behavior without expressing a positive or negative view. It contains no evaluative language or emotion, thus it is best classified as neutral sentiment.",neutral,neutral
"Strongest growth was seen in the new markets in Russia , the Czech Republic , and Slovakia .",positive,positive,"The article highlights ""Strongest growth"" in new markets in Russia, the Czech Republic, and Slovakia, signaling positive performance and expansion.",positive,Strict classification applied,positive,"The statement cites ""strongest growth"" in new markets, which indicates a financial gain.",positive,"The headline reports that the strongest growth was observed in new markets, which conveys a positive business outcome.",positive,positive
The sale price was not disclosed .,neutral,neutral,"The statement ""The sale price was not disclosed"" contains no positive or negative language and simply reports a lack of information, which is neutral in tone.",neutral,Strict classification applied,neutral,"The passage only states that the sale price was not disclosed, providing no evidence of a financial gain, loss, or penalty.",neutral,"The headline simply states that the sale price was not disclosed, containing no positive or negative evaluative language.",neutral,neutral
You will hear the latest insights and updates on Citycon 's strategy as well as the latest news from all the business units .,neutral,neutral,The statement only reports forthcoming updates and insights without any evaluative or emotive language.,neutral,Strict classification applied,neutral,"The statement mentions only strategy updates and news from business units, with no explicit reference to financial gain, loss, or penalty.",neutral,"The headline simply announces that upcoming content will include insights, updates, and news. It does not convey any evaluative language or emotional tone, so it is best classified as neutral.",neutral,neutral
"HKScan is one of the leading food companies in northern Europe with homemarkets in Finland , Sweden , the Baltic countries and Poland .",neutral,neutral,The statement provides neutral facts about HKScan's market presence and leadership without expressing a positive or negative opinion.,neutral,Strict classification applied,neutral,"The statement only describes the company's geographic presence and does not mention any financial gain, loss, or decline.",neutral,The headline simply states factual information about HKScan’s market presence and standing without expressing any positive or negative opinion.,neutral,positive
We have made long-term investments in developing the system 's implementation model .,neutral,positive,"The phrase ""long-term investments"" signals a proactive, optimistic stance toward development, implying confidence and positive intent.",positive,Strict classification applied,neutral,"The company is making a long‑term investment in system development, a standard corporate expenditure with no explicit gain or loss reported.",neutral,"The headline simply reports that long‑term investments have been made in developing the system's implementation model. It contains no evaluative or emotive language that would indicate a positive or negative sentiment, resulting in a neutral classification.",neutral,neutral
"Marubeni has participated in GHG - Green House Gas - emission reduction projects overseas , obtained emissions credit from its projects and has provided these to Japanese clients .",neutral,positive,"The article highlights Marubeni’s participation in overseas GHG‑emission reduction projects, the acquisition of emissions credits, and the distribution of those credits to Japanese clients, all of which reflect a constructive environmental effort.",positive,Strict classification applied,neutral,"The article describes Marubeni’s participation in and provision of emission credits, which is presented as routine corporate activity without explicit mention of financial gain or loss.",positive,"The headline highlights Marubeni's proactive involvement in green initiatives, highlighting successful projects overseas, acquisition of emissions credits, and delivery of these credits to clients—presenting a positive environmental and business impact.",neutral,neutral
The newly created position has been established to strengthen Amer Sports ' management in strategic planning and execution .,positive,positive,"The article says the new position was created ""to strengthen Amer Sports' management in strategic planning and execution,"" indicating a positive improvement.",positive,Strict classification applied,neutral,"The creation of a new position aims to strengthen management, a typical corporate move with no explicit financial gain or loss mentioned.",neutral,"The headline simply reports a new position aimed at improving strategic planning and execution, without expressing any positive or negative emotional tone.",positive,positive
The agreement with JM is one in a series of contracts that TeliaSonera has signed in recent months with residential construction and real estate management companies in Sweden .,neutral,neutral,The article merely reports a factual contract with JM and other companies; it contains no positive or negative language.,neutral,Strict classification applied,neutral,"The statement reports new contracts signed with construction and real‑estate firms, indicating routine business activity without any explicit financial gain or loss.",neutral,The headline presents a straightforward factual statement about TeliaSonera signing multiple contracts. It contains no emotive language or value judgment that would indicate a positive or negative sentiment.,neutral,neutral
"Net profit in the three months through March 31 fell to (  x20ac ) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier , the Finnish company said .",negative,negative,"The statement reports the net profit ""fell to (x20ac) 103 million from (x20ac) 131 million a year earlier,"" indicating a decline in earnings.",negative,Strict classification applied,negative,"Net profit fell from 131 million to 103 million (x 20 ac), showing a decline compared to the previous year.",negative,The headline reports a decline in net profit—from 131 million to 103 million—indicating a negative change in the company's financial performance.,negative,negative
16 February 2011 - Finnish industrial machinery company Metso Oyj ( HEL : MEO1V ) said today it will deliver minerals processing equipment and basic engineering to Canadian miner Northland Resources ( OSL : NAUR ) ( TSE : NAU ) .,positive,positive,"The article states that Metso will deliver equipment and basic engineering to Northland Resources, indicating a new business transaction and potential revenue generation, which is a positive business development.",neutral,Strict classification applied,neutral,"Metso announced a routine equipment delivery contract; the news contains no explicit statement of revenue, profit, or loss.",neutral,"The headline simply reports a planned delivery of equipment by one company to another, containing no positive or negative language or sentiment indicators. Therefore, it is classified as neutral.",neutral,positive
"When dialing in , the participants should quote 877417 as conference ID .",neutral,neutral,"The text only provides a factual instruction about a conference ID, with no positive or negative language.",neutral,Strict classification applied,neutral,"The text only provides a conference ID and contains no financial gain, loss, or growth information.",neutral,"The headline merely provides a factual instruction about quoting a conference ID, lacking any emotional or evaluative language that would indicate a positive or negative sentiment.",neutral,neutral
"To prove the efficiency of the China Mobile system , Rod Baber , an English climber , climbed to the Mount Everest summit and successfully made calls .",positive,positive,"The article highlights that Rod Baber successfully made calls from the summit, demonstrating the effectiveness of China Mobile’s system, which conveys a positive outcome.",neutral,Strict classification applied,neutral,"The article only describes a promotional activity and provides no explicit financial gain, loss, or operational transaction.",positive,"The headline highlights a successful achievement—an English climber not only summited Mount Everest but also demonstrated the efficiency of China Mobile’s system by making calls, which reflects a positive outcome.",positive,positive
"Operating profit surged to EUR21m from EUR106 ,000 .",positive,positive,"The report highlights a dramatic rise in operating profit—from EUR106,000 to EUR21M—using the word ""surged,"" signaling a strong positive financial outcome.",positive,Strict classification applied,positive,"Operating profit increased from EUR106,000 to EUR21 million, indicating a substantial financial gain.",positive,"The headline reports a dramatic increase in operating profit (from EUR106,000 to EUR21 million), indicating strong financial performance, which expresses a positive sentiment.",positive,positive
This assignment strengthens Poyry 's position as an international provider of engineering and project services to the chemical process industry .,positive,positive,"The statement that the assignment ""strengthens Poyry's position as an international provider"" indicates a positive development for the company.",positive,Strict classification applied,neutral,"No explicit financial impact is reported; the statement only notes a strengthened position without citing revenue, profit, or loss figures.",positive,"The headline indicates that the assignment will enhance or strengthen Poyry’s market position, suggesting a favorable outcome for the company.",positive,positive
"The company also appointed Leif Rosen head of the Special Plate unit which includes the quarto plate units in Degerfors , Sweden , and New Castle , USA , the unit in Willich , Germany , as well as Pressplate and Prefab in Avesta and Plate Service Centre Nordic in Degerfors .",neutral,neutral,The passage states a factual update—Leif Rosen was appointed head of the Special Plate unit—without any evaluative language or emotional tone.,neutral,Strict classification applied,neutral,"The announcement only reports a new appointment; it contains no explicit financial gain, decline or penalty.",neutral,"The headline reports a factual corporate appointment without any evaluative or emotive language, indicating a neutral sentiment.",neutral,neutral
Mobile communication and wireless broadband provider Nokia Inc NYSE : NOK today set new financial targets and forecasts for Nokia and the mobile device industry and also for Nokia Siemens Networks and the mobile and fixed infrastructure and related services market .,neutral,neutral,"The article reports that Nokia ""set new financial targets and forecasts"" for itself and related markets, which is an informational statement without explicit positive or negative remarks.",neutral,Strict classification applied.,neutral,"The article only reports that Nokia set new targets and forecasts, without stating any actual earnings growth or loss.",neutral,"The headline merely reports that Nokia announced new financial targets and forecasts for its businesses and the broader market. It does not contain explicit language of praise, criticism, or negative assessment, so the sentiment is best considered neutral.",neutral,neutral
First quarter underlying operating profit rose to 41 mln eur from 33 mln a year earlier .,positive,positive,"The news states that the first quarter underlying operating profit rose from 33 mln to 41 mln, indicating a clear improvement in earnings.",positive,Strict classification applied,positive,"Underlying operating profit rose from €33 million to €41 million, a gain of €8 million.",positive,"The headline reports an increase in operating profit from 33 million to 41 million euros, indicating improved financial performance.",positive,positive
A few employees would remain at the Oulu plant in support functions for other group units .,neutral,neutral,The statement simply reports that a small number of employees will stay at the Oulu plant for support roles; it contains no positive or negative evaluation.,neutral,Strict classification applied,neutral,"The note merely reports staffing continuity at the plant, with no mention of financial gain, loss, or change in performance.",neutral,"The headline simply reports that a small number of employees will stay at the Oulu plant to provide support functions for other group units, with no positive or negative language or implication.",neutral,neutral
"Swiss bank Credit Suisse International will act as an investor in the locomotive manufacturing plant , the Astana administration said .",neutral,neutral,"The article merely states that Credit Suisse International will act as an investor in a locomotive plant, with no evaluative or emotive language indicating positive or negative sentiment.",positive,Strict classification applied,positive,"Credit Suisse International is acting as an investor in the locomotive plant, indicating a capital investment that signals potential financial gain.",neutral,"The headline reports a factual event—Credit Suisse International will invest in a locomotive plant—without using evaluative or emotionally charged language, indicating a neutral sentiment.",neutral,neutral
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,positive,The announcement that the dividend will increase from EUR0.08 to EUR0.12 per share demonstrates a favorable financial improvement for shareholders.,positive,Strict classification applied,positive,"The company proposes a dividend increase from €0.08 to €0.12 per share, indicating higher shareholder payouts and financial growth.",positive,"The headline reports an increase in dividend payout from EUR 0.08 to EUR 0.12 per share, indicating a more favorable financial outcome for shareholders and thereby conveying a positive sentiment.",positive,positive
Atria said its offer would give the Swedish company continued ownership and control of its slaughtering and cutting operations .,neutral,neutral,"The statement simply reports that Atria’s offer will allow the Swedish company to maintain ownership and control over its operations, with no positive or negative language indicating impact or outcome.",neutral,Strict classification applied,neutral,"The statement describes a change in ownership and control, which is a standard corporate operation without indicating any financial gain or loss.",neutral,"The headline presents factual information about an offer that would maintain a company's ownership and control. It does not express approval, disapproval, or any emotional stance, making its sentiment neutral.",neutral,neutral
Operating profit excluding restructuring costs grew to EUR 44.5 million from EUR 31.7 million while operating profit including restructuring costs showed even larger growth to EUR 38.5 million from EUR 7.4 million .,positive,positive,"The news reports that operating profit excluding restructuring costs increased from EUR 31.7 million to EUR 44.5 million, and operating profit including restructuring costs rose from EUR 7.4 million to EUR 38.5 million, indicating a clear financial improvement.",positive,Strict classification applied,positive,Operating profit grew from €31.7 million to €44.5 million (excluding restructuring costs) and from €7.4 million to €38.5 million (including restructuring costs).,positive,"The headline reports significant increases in operating profit both excluding and including restructuring costs, indicating strong financial performance. This upward trend in profitability conveys a positive outlook.",positive,positive
